date,market,tier,n,wins,losses,ppv,npv,breakeven,edge_vs_be,sensitivity,specificity,roi
2026-09-07,ATS,Pass,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07,ATS,Strong buy,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-09-07,All,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,All,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,All,Pass,4,2,2,0.5,0.0,0.5116,-0.0116,1.0,0.0,-0.0849
2026-09-07,All,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,ML,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,ML,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,ML,Pass,2,1,1,0.5,0.0,0.5133,-0.0133,1.0,0.0,-0.1552
2026-09-07,ML,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,Totals,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,Totals,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-07,Totals,Pass,2,1,1,0.5,0.0,0.5098,-0.0098,1.0,0.0,-0.0146
2026-09-07,Totals,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,ATS,Buy (S+M),2,1,1,0.5,0.5,0.5061,-0.0061,0.2,0.8,-0.0238
2026-09-11,ATS,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,ATS,Pass,8,4,4,0.5,0.5,0.5195,-0.0195,0.8,0.2,-0.038
2026-09-11,ATS,Strong buy,2,1,1,0.5,0.5,0.5061,-0.0061,0.2,0.8,-0.0238
2026-09-11,All,Buy (S+M),2,1,1,0.5,0.5,0.5061,-0.0061,0.0714,0.9286,-0.0238
2026-09-11,All,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,All,Pass,26,13,13,0.5,0.5,0.5128,-0.0128,0.9286,0.0714,-0.137
2026-09-11,All,Strong buy,2,1,1,0.5,0.5,0.5061,-0.0061,0.0714,0.9286,-0.0238
2026-09-11,ML,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,ML,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,ML,Pass,8,4,4,0.5,0.0,0.5076,-0.0076,1.0,0.0,-0.354
2026-09-11,ML,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,Totals,Buy (S+M),0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,Totals,Moderate buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
2026-09-11,Totals,Pass,10,5,5,0.5,0.0,0.5117,-0.0117,1.0,0.0,-0.0428
2026-09-11,Totals,Strong buy,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0
